Description,Item Type,Janelia Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity Per SubAssy
,,,,,,,
NP2 SLIDING RING ANGLE ADJUST,CUSTOM MACHINED,J009968,,,,,1
NP2 ARC ADJUST END ,CUSTOM MACHINED,J009962 ,,,,,1
NP2 ARC ADJUST END MIRROR ,CUSTOM MACHINED,J009963,,,,,1
NP2 ARC CLAMP,CUSTOM MACHINED,J009970,,,,,2
NP2 CABLE TRELLIS ARC MOUNT,51014,,,,,1
NP2 CABLE TRELLIS ARC MOUNT M,51015,,,,,1
NP2 ARC TRELLIS,51013,,,,,1
3/16 x 3/4L DOWEL PIN SS,PURCHASED,,,,MCMASTER,90145A508,1
5/16 x 1-1/4L SCHS SS,PURCHASED,,,,MCMASTER,92196A585,4
Plastic Adjustable-Position Handle,PURCHASED,,,,MCMASTER,5101K26,2
5/16 NUT SS,PURCHASED,,,,MCMASTER,91845A030,4
M4 WASHER SS,PURCHASED,,,,MCMASTER,93475A230,4
M4x5 BHCS SS,PURCHASED,,,,MCMASTER,92095A477,10
