Description,Item Type,Janelia Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity Per SubAssy
,,,,,,,
NP2 ELEVATOR SIDE SPACER,CUSTOM MACHINED,J009953,,,,,2
NP2 STAGE TO FRAME CONNECTOR,CUSTOM MACHINED,J009954,,,,,2
NP2 ARC AA OPEN TOP SIDE,CUSTOM MACHINED,J009955A,,,,,2
NP2 CONNECTOR BAR,CUSTOM MACHINED,J009956,,,,,2
NP2 U-AIKK18 ANGLE PLATE AI,ALTERED ITEM,J009946,,,,,2
3/16 x 3/4L DOWEL PIN SS,PURCHASED,,,,MCMASTER,90145A508,16
"5/16""-18 x 3/4"" SHCS SS ",PURCHASED,,,,MCMASTER,92196A581,24
"1/4"" -20 x7/16"" LOW HEAD SHCS SS",PURCHASED,,,,MCMASTER,93615A409,36
M6x12 SHCS SS,PURCHASED,,,,MCMASTER,91292A134,4
"M8x10L SHOULDER SCREW, M6 THREAD",PURCHASED,,,,MCMASTER,90265A149,4
"NOTCHED DISC SPRING, 5/16"" ID",PURCHASED,,,,MCMASTER,1810N610,4
"M8 SHOULDER WASHER, 0.062"" THK",PURCHASED,,,,MCMASTER,91437A282,4
"WASHER, 14OD 8ID 2 THK",PURCHASED,,,,MISUMI,WSSS14-8-2,8
M8x40 SHCS SS,PURCHASED,,,,MCMASTER,91292A152,8
