Description,Item Type,Janelia Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity Per SubAssy
,,,,,,,
NP2 CAMERA FOCUS MTR BRKT,CUSTOM MACHINED,J009974B,,,,,1
NP2 WD ADJUST PLATE,CUSTOM MACHINED,J009975 ,,,,,1
NP2 CAMERA CAP,CUSTOM MACHINED,J009978 ,,,,,1
NP2 FOCUS MTR MNT,CUSTOM MACHINED,J010016,,,,,1
NP2 GONIO MOUNT PLATE,CUSTOM MACHINED,J010017,,,,,1
FLAT BELT PULLEY,PURCHASED,,,,MISUMI,HBPUS15-P6-6,1
"FLAT BELT , 5.7 INCH LENGTH",PURCHASED,,,,ELLIOTT ELECTRONICS,FBS5.7,1
CABLE TIE MOUNT,PURCHASED,,PANDUIT,TM1S4,,,3
GEARMOTOR HPCB 12V 380:1,PURCHASED,,,,POLOLU,4798,1
QIK 2S9V1 MOTOR CONTROLLER,PURCHASED,,,,POLOLU,1110,1
GEARMOTOR BRACKET,PURCHASED,,,,POLOLU,989,1
GONIOMETER,PURCHASED,,,,MISUMI,GFG40-25,1
DOVETAIL STAGE,PURCHASED,,,,MISUMI,XFHT40-R,1
DOVETAIL STAGE,PURCHASED,,,,MISUMI,XSLC60-R,1
M2x5 SHCS SS,PURCHASED,,,,MCMASTER,91292A005,2
M3x6 SHCS SS,PURCHASED,,,,MCMASTER,91292A111,8
M3x8 SHCS SS,PURCHASED,,,,MCMASTER,91292A112,2
M3x4 PHMS SS,PURCHASED,,,,MCMASTER,92000A113,1
M3x6 PHMS SS,PURCHASED,,,,MCMASTER,92000A116,3
M3x8 FLAT HEAD PHILLIPS SCREW,PURCHASED,,,,MCMASTER,92010A118,7
M3x10 FLAT HEAD PHILLIPS SCREW,PURCHASED,,,,MCMASTER,92010A120,4
