Description,Item Type,Janelia Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity Per SubAssy
,,,,,,,
NP2 FIBER SPACER BLOCK,CUSTOM MACHINED,J010039,,,,,1
NP2 FC CLAMP,CUSTOM MACHINED,J010040,,,,,1
NP2 FIBER MOUNT INDICATOR,CUSTOM MACHINED,J010042,,,,,1
NP2 FC SLIDE,CUSTOM MACHINED,J010043,,,,,1
NP2 POE HANDLE C ,CUSTOM MACHINED,J009927A,,,,,1
NP2 POE CABLE COVER,CUSTOM LASER CUT,J009976,,,,,1
NP2 PROBE MOD LATCH,CUSTOM MACHINED,J009979,,,,,1
NP2 PROBE MOD LATCH M,CUSTOM MACHINED,J009980,,,,,1
NP2 ORBIT MAN CAP POE,CUSTOM MACHINED,J009981 ,,,,,1
M2.5x10 PHMS SS,PURCHASED,,,,MCMASTER,92000A106,1
SPACER,PURCHASED,,,,MCMASTER,92510A533,1
SIZE 10 O RING,PURCHASED,,,,MCMASTER,9452K18,1
FIBER COLLIMATOR,PURCHASED,,,,THORLABS,CFC2-A,1
M3x8 PHMS SS,PURCHASED,,,,MCMASTER,92000A118,2
8-32 x 5/8 L FHMS SS ,PURCHASED,,,,MCMASTER,91771A196,2
"SCREW, SHOULDER,  3/32"" x 3/32"", SS",PURCHASED,,,,MCMASTER,94035A112,2
"0-80 x 1/4"" SHCS SS",PURCHASED,,,,MCMASTER,92196A055,2
"0-80 x 3/16"" FHMS SS",PURCHASED,,,,MCMASTER,91771A054,2
0-80 NARROW HEX NUT,PURCHASED,,,,MCMASTER,90730A001,2
"SPRING, EXTENSION, 0.25L, .063 OD",PURCHASED,,,,MCMASTER,5108N001,2
M4x12 SHCS SS,PURCHASED,,,,MCMASTER,91292A117,2
M1.6x10 SHCS SS,PURCHASED,,,,MCMASTER,92290A602,6
M1.6x3 SHCS SS,PURCHASED,,,,MCMASTER,92290A596,4
M1.6x5 SHCS SS,PURCHASED,,,,MCMASTER,91292A262,4
M2x10 SHCS SS,PURCHASED,,,,MCMASTER,91292A833,4
WAVE WASHER,PURCHASED,,,,MCMASTER,9714K192,2
CABLE TIE SMALL,PURCHASED,,,,,,3
NEW SCALE MANIPULATOR,PURCHASED,,NEW SCALE,M3-LS-3.4-15-XYZ,,,1
